Município,Mês,Quantidade
ALOANDIA,August de 2022,0.0
ALOANDIA,September de 2022,0.0
ALOANDIA,October de 2022,0.0
ALOANDIA,November de 2022,0.0
ALOANDIA,December de 2022,0.0
ALOANDIA,January de 2023,0.0
ALOANDIA,February de 2023,0.0
ALOANDIA,March de 2023,0.0
ALOANDIA,April de 2023,0.0
ALOANDIA,May de 2023,0.0
ALOANDIA,June de 2023,0.0
ALOANDIA,July de 2023,0.0
ALOANDIA,August de 2023,0.0
ALOANDIA,September de 2023,0.0
ALOANDIA,October de 2023,0.0
ALOANDIA,November de 2023,0.0
ALOANDIA,December de 2023,0.0
ALOANDIA,January de 2024,0.0
ALOANDIA,February de 2024,0.0
ALOANDIA,March de 2024,0.0
ALOANDIA,April de 2024,0.0
ALOANDIA,May de 2024,0.0
ALOANDIA,June de 2024,0.0
ALOANDIA,July de 2024,0.0
ALOANDIA,August de 2024,0.0
ALTO HORIZONTE,January de 2021,0.0
ALTO HORIZONTE,February de 2021,0.0
ALTO HORIZONTE,March de 2021,0.0
ALTO HORIZONTE,April de 2021,0.0
ALTO HORIZONTE,May de 2021,0.0
ALTO HORIZONTE,June de 2021,0.0
ALTO HORIZONTE,July de 2021,0.0
ALTO HORIZONTE,August de 2021,0.0
ALTO HORIZONTE,September de 2021,0.0
ALTO HORIZONTE,October de 2021,0.0
ALTO HORIZONTE,November de 2021,0.0
ALTO HORIZONTE,December de 2021,0.0
ALTO HORIZONTE,January de 2022,0.0
ALTO HORIZONTE,February de 2022,0.0
ALTO HORIZONTE,March de 2022,0.0
ALTO HORIZONTE,April de 2022,0.0
ALTO HORIZONTE,May de 2022,0.0
ALTO HORIZONTE,June de 2022,1.0
ALTO HORIZONTE,July de 2022,0.0
ALTO HORIZONTE,August de 2022,0.0
ALTO HORIZONTE,September de 2022,0.0
ALTO HORIZONTE,October de 2022,0.0
ALTO HORIZONTE,November de 2022,0.0
ALTO HORIZONTE,December de 2022,0.0
ALTO HORIZONTE,January de 2023,0.0
ALTO HORIZONTE,February de 2023,0.0
ALTO HORIZONTE,March de 2023,0.0
ALTO HORIZONTE,April de 2023,0.0
ALTO HORIZONTE,May de 2023,0.0
ALTO HORIZONTE,June de 2023,0.0
ALTO HORIZONTE,July de 2023,1.0
ALTO HORIZONTE,August de 2023,0.0
ALTO HORIZONTE,September de 2023,1.0
ALTO HORIZONTE,October de 2023,0.0
ALTO HORIZONTE,November de 2023,0.0
ALTO HORIZONTE,December de 2023,0.0
ALTO HORIZONTE,January de 2024,0.0
ALTO HORIZONTE,February de 2024,0.0
ALTO HORIZONTE,March de 2024,0.0
ALTO HORIZONTE,April de 2024,0.0
ALTO HORIZONTE,May de 2024,0.0
ALTO HORIZONTE,June de 2024,0.0
ALTO HORIZONTE,July de 2024,0.0
ALTO HORIZONTE,August de 2024,0.0
ALTO PARAISO DE GOIAS,January de 2021,0.0
ALTO PARAISO DE GOIAS,February de 2021,0.0
ALTO PARAISO DE GOIAS,March de 2021,0.0
ALTO PARAISO DE GOIAS,April de 2021,0.0
ALTO PARAISO DE GOIAS,May de 2021,0.0
ALTO PARAISO DE GOIAS,June de 2021,0.0
ALTO PARAISO DE GOIAS,July de 2021,1.0
ALTO PARAISO DE GOIAS,August de 2021,0.0
ALTO PARAISO DE GOIAS,September de 2021,0.0
ALTO PARAISO DE GOIAS,October de 2021,0.0
ALTO PARAISO DE GOIAS,November de 2021,0.0
ALTO PARAISO DE GOIAS,December de 2021,2.0
ALTO PARAISO DE GOIAS,January de 2022,0.0
ALTO PARAISO DE GOIAS,February de 2022,0.0
ALTO PARAISO DE GOIAS,March de 2022,0.0
ALTO PARAISO DE GOIAS,April de 2022,0.0
ALTO PARAISO DE GOIAS,May de 2022,0.0
ALTO PARAISO DE GOIAS,June de 2022,0.0
ALTO PARAISO DE GOIAS,July de 2022,0.0
ALTO PARAISO DE GOIAS,August de 2022,0.0
